Дата;Запуск;Космодром;Стартовый комплекс;Ракета-носитель;Результат
30.06.09 00:00:00;Запуск КА «Сириус-Радио ФМ5»;Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-М  ;Успешный 
22.06.09 00:00:00;Запуск КА Measat-1R;Байконур  ;СК 11П877 РН Зенит. Пл. №45. ПУ №1  ;Зенит-3SLБ  ;Успешный 
27.05.09 00:00:00;Запуск пилотируемого космического корабля «Союз ТМА-15»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-ФГ  ;Успешный 
16.05.09 00:00:00;Запуск КА «Протостар-2»;Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-М  ;Успешный 
07.05.09 00:00:00;Запуск грузового космического корабля «Прогресс М-02М»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-У  ;Успешный 
03.04.09 00:00:00;Запуск КА «Дабл Ю 2 Эй»;Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-М  ;Успешный 
26.03.09 00:00:00;Запуск пилотируемого космического корабля «Союз ТМА-14»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-ФГ  ;Успешный 
17.03.09 00:00:00;Запуск КА «Гоче»;Плесецк  ;СК 133/3 РН Рокот  ;Рокот  ;Успешный 
26.02.09 00:00:00;Запуск КА «Телстар-11Н»;Байконур  ;СК 11П877 РН Зенит. Пл. №45. ПУ №1  ;Зенит-3SLБ  ;Успешный 
11.02.09 00:00:00;Совместный запуск «Экспресс-АМ44» и «Экспресс-МД1»;Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-М  ;Успешный 
10.02.09 00:00:00;Запуск грузового космического корабля «Прогресс М-66»;Байконур  ;СК 17П32-6 РН типа Р-7. Пл. №31. ПУ №6  ;Союз-У  ;Успешный 
30.01.09 00:00:00;Запуск КА «Коронас-Фотон»;Плесецк  ;СК 32/2 (РН Циклон)  ;Циклон-3  ;Успешный 
02.09.10 04:53:43;"Запуск блока КА ""Глонасс-М""";Байконур  ;СК РН типа Протон. Пл. №81. ПУ №24  ;Протон-М  ;Предстоящий 
10.07.10 22:40:36;"Запуск КА ""Экостар-15""";Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-М  ;Успешный 
30.06.10 19:35:15;"Запуск транспортного грузового корабля ""Прогресс М-06М""";Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-У  ;Успешный 
21.06.10 06:14:01;"Запуск КА ""TanDEM-X""";Байконур  ;СК ракеты РС-20. Пл. №109  ;РС-20  ;Успешный 
16.06.10 01:35:00;"Запуск ТПК ""Союз ТМА-19""";Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-ФГ  ;Успешный 
04.06.10 02:00:08;"Запуск КА ""Арабсат-5Б""";Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-М  ;Успешный 
28.04.10 21:15:00;"Запуск транспортного грузового корабля ""Прогресс М-05М""";Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-У  ;Успешный 
24.04.10 15:19:00;"Запуск КА ""АМС-4Р""";Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-М  ;Успешный 
08.04.10 17:57:00;Запуск КА «КриоСат-2»;Байконур  ;СК ракеты РС-20. Пл. №109  ;РС-20  ;Успешный 
02.04.10 08:04:00;Запуск транспортного пилотируемого корабля  «Союз ТМА-18»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-ФГ  ;Успешный 
20.03.10 21:26:57;Запуск КА «Экостар-14»;Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-М  ;Успешный 
02.03.10 00:19:44;Запуск блока КА «Глонасс-М»;Байконур  ;СК РН типа Протон. Пл. №81. ПУ №24  ;Протон-М  ;Успешный 
12.02.10 03:39:40;Запуск КА «Интелсат-16»;Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-М  ;Успешный 
03.02.10 06:45:31;Запуск транспортного грузового корабля «Прогресс М-04М»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-У  ;Успешный 
