Номер сертификата;Название;Полное название;Юридический адрес;Аэропорты базирования;Контролирующее МТУ;Типы ВС
510;КОНТИНЕНТ;"ОАО ""Авиационная компания ""КОНТИНЕНТ""";101000 Москва, Архангельский пер.д.1/1/9 ст.1А 301;Внуково, Домодедово;МТУ Центр.район;"Ил-76; Ту-154"
338;Корякавиа;"ФГУП ""Корякское авиапредприятие""";688810Камч.кр.Коряк. АО Олюторский р.,ул.Пилота,19;П.-Камчатский;Камчатское МТУ;"Ан-28; Ми-8"
444;Космос;"ЗАО ""Производственное объединение Космос""РКК им.С.П.Королева";109027 Москва,Боровское шоссе,Внуково-3,д.1, ком.1;Внуково;МТУ Центр.район;"Ан-12; Ту-134"
489;Костромское АП   ОАО;"Открытое акционерное общество ""Костромское авиапредприятие""";156012 г.Кострома, ул.Костромская, 120, аэропорт;Кострома;МТУ Центр.район;"Ан-26; Ми-2; Ан-2"
484;КрасАвиа;"Государственное предприятие Красноярского края ""КрасАвиа""";663021,Красн.кр,Емел ьяновский р-н,а/п Черемшанка;Байкит, Тура, Черемшанка;Красноярск. МТУ;"Ан-2; Ан-24; Ан-32; Ми-8; Як-40; Ан-26; Ан-3; Ту-154М; Як-42Д"
467;Летные проверки;"ЗАО ""Летные проверки и системы""";119034,г.Москва, ул.Остоженка, д.30,ст.3;Быково, Хабаровск(Нов);МТУ Центр.район;"Ан-26; Ан-24; Як-40"
525;Летные технологии;"ООО ""Авиакомпания ""Летные технологии""";140150,М.О. п.Быково, ул.Советская, д.19;Быково;МТУ Центр.район;"Ан-24; Ан-26"
239;Летный отряд 223-й;"ФГУ ""Государственая авиакомпания 223 летный отряд""";141100 Московская обл., г.Щелково-10;Чкаловский;ФАВТ;"Ил-62М; Ил-76; Ту-134; Ту-154Б"
529;Летный отряд 224-й;"ОАО ""Государственная авиакомпания ""224 летный отряд""";107014 Москва, Матросская тишина, д.10;Тверь(Мигалово) , Сеща;ФАВТ;"Ан-124; Ил-76"
425;Лукиавиатранс;"ООО ""Лукиавиатранс""";182100 Пск.о.,Великолукский р,д.Максимово;Псков;Сев.-Зап. МТУ;"Ан-2; Ан-26; Ан-30; Ми-2; Ми-8; Ан-30"
469;ЛУКОЙЛ-АВИА ООО;"ООО ""ЛУКОЙЛ-АВИА""";101000, Москва, Сретенский бульвар,11;Шереметьево, Астрахань-Нарим;МТУ Центр.район;"Ми-8; Як-40;Як-42"
25;МАРЗ РОСТО;"ЗАО ""Московский авиационно-ремонтный завод РОСТО""";143921 М.о.,д.Федурново,ул. Авиарембаза,7;Черное, Тверь(Змеево);МТУ Центр.район;"Ми-2; Ми-8Т"
238;Меридиан;"ЗАО Авиакомпания ""Меридиан""";119926,г.Москва, Университетский пр-т, д.9;Внуково;МТУ Центр.район;Ту-134
230;Мирнинское АП;"ЗАО Акционерная компания ""АЛРОСА"" (Мирнинское АП)";678170 Республика Саха(Якутия), г.Мирный, аэропорт;Мирный, Ленск;Саха(Якут.) МТУ;"Ан-2; Ан-24; Ан-26;  Ил-76ТД; Ми-26; Ми-8; Ту-134; Ту-154М; Ми-171;  Ан-38"
389;Московия;"ОАО ""Авиакомпания Московия""";"140182 Жуковский, М.О., ФГУП ""ЛИИ им.М.М.Громова""";Быково, Домодедово;МТУ Центр.район;"Ан-12; Ту-154М"
