Фамилия;Имя;Отчество;День рождения;Выдвинувшая партия;Фракция и должность;Состоит в комитетах;Срок окончания полномочий;Адрес сайта
Чиркин;Андрей;Борисович;15/03/1961;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по строительству и земельным отношениям;02/12/2007;
Чухраёв;Александр;Михайлович;14/01/1952;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по охране здоровья;02/12/2007;
Шайхутдинов;Рифат;Габдулхакович;23/12/1963;"""Либерально-демократическая партия России""";"Член фракции ""Либерально-демократическая партия России""";Член Комитета ГД по конституционному законодательству и государственному строительству;02/12/2007;
Шаккум;Мартин;Люцианович;21/09/1951;"""Единая Россия""";"Член фракции ""Единая Россия""";Председатель Комитета ГД по строительству и земельным отношениям | Сопредседатель Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ;02/12/2007;http://www.shakkum.ru/
Швалев;Федор;Михайлович;21/12/1949;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по транспорту;02/12/2007;
Шевцов;Георгий;Егорович;28/11/1948;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по промышленности;02/12/2007;
Шеин;Олег;Васильевич;21/03/1972;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Заместитель руководителя фракции ""Справедливая Россия""";Заместитель председателя Комитета ГД по труду и социальной политике | Член Счетной комиссии ГД;02/12/2007;
Шестаков;Василий;Борисович;4/04/1953;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Заместитель руководителя фракции ""Справедливая Россия""";Член Комитета ГД по физической культуре и спорту;02/12/2007;
Шиманов;Александр;Алексеевич;27/09/1957;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по природным ресурсам, природопользованию и экологии;02/12/2007;
Шипунов;Константин;Борисович;26/11/1961;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по финансовому рынку;25/09/2008;
Ширшов;Константин;Владимирович;1/08/1974;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по строительству и земельным отношениям | Член Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ;02/12/2007;
Шихсаидов;Хизри;Исаевич;1/08/1947;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по Регламенту и организации работы Государственной Думы;02/12/2007;
Шишкарев;Сергей;Николаевич;2/02/1968;"""Единая Россия""";"Член фракции ""Единая Россия""";Председатель Комитета ГД по транспорту | Член Комиссии ГД по законодательному обеспечению деятельности субъектов естественных монополий, государственных корпораций и коммерческих организаций с государственным участием;02/12/2007;http://www.duma.gov.ru/shishkarev/
Шишкин;Александр;Геннадьевич;4/05/1960;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по физической культуре и спорту;02/12/2007;
Шлегель;Роберт;Александрович;17/12/1984;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по информационной политике, информационным технологиям и связи;02/12/2007;http://www.shlegel.ru/
Шойгу;Лариса;Кужугетовна;21/01/1953;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по охране здоровья;02/12/2007;
Шоршоров;Степан;Мкртычевич;31/01/1956;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по делам национальностей;02/12/2007;
