Категория эмитента;Идентификатор;Имя;Организация-эмитент;Область использования
Удостоверяющие центры;1.2.643.3.8.6;"C=RU,o=REG3,o=JSC""CA"",o="" Overta "" Ltd.";"Общество с ограниченной ответственностью ТК "" Оверта "", г. Саратов";Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.8.7;"C=RU,o=REG3,o=JSC""CA"",o="" Vidicon "" Ltd.";"Общество с ограниченной ответственностью ""Видикон"", г . Пермь";Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.8.8;"C=RU,o=REG3,o=JSC""CA"",o=""IVC PERM""";Областное государственное унитарное предприятие «Информационно-вычислительный центр администрации Пермской области»;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.8.9;"C=RU,o=REG3,o=JSC""CA"",o=""DUMC""";Некоммерческое партнерство « Димитровградский учебно-методический центр», г .Д имитровград, Ульяновской обл;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.8.10;"C=RU,o=REG3,o=JSC""CA"",o=""""Kris"" Ltd.""";ООО « Крис », г .П сков;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.8.11;"C=RU,o=REG3,o=JSC""CA"",o="" CA.Orenburg""JSC";Закрытое акционерное общество «Удостоверяющий центр. Оренбург»;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.8.12;"C=RU,o=REG3,o=JSC""CA"",o="" Rosintelsystem "" Ltd.";"Общество с ограниченной ответственностью "" Росинтелсистем "", г .П енза";Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.8.13;зарезервировано;;
Удостоверяющие центры;1.2.643.3.8.14;"C=RU,o=REG3,o=CA,o="""" YourNet.RU""Ltd .""";ООО «Твоя Сеть» г .С анкт Петербург;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.8.15;"C=RU,o=REG3,o=CA,o=""Itil-95 TSC"" Ltd.""";"ООО НТЦ ""Итиль-95"" г .И ваново";Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.8.16;"C=RU,o=REG3,o="" CA"",o="" FEM MF Sovetskiy raion """;;
Удостоверяющие центры;1.2.643.3.8.17;"C=RU,o=REG3,o=CA,o=""JSC ""New technologies""""";ФЭУ МО Советский район ,Тюменская обл , г .С оветский,;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.8.18;зарезервировано;;
Удостоверяющие центры;1.2.643.3.8.19;зарезервировано;;
Удостоверяющие центры;1.2.643.3.8.20;зарезервировано;;
Удостоверяющие центры;1.2.643.3.8.21;"C=RU,o=REG3,o=CA,o="""" Crypta "" Ltd""";ООО «Крипта» г .И ркутск;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.8.22;зарезервировано;;
Удостоверяющие центры;1.2.643.3.8.23;"C=RU,o=REG3,o=CA,o=""""NV-Com"" Ltd.""";ООО «НВ-Ком» г .Н ижневартовск;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.8.24;"C=RU,o=REG3,o=CA,o=""""Corporation Parus """"";"ООО ""Корпорация Парус» .г Рязань";Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.8.25;"C=RU,o=REG3,o="" CA"",o=""OGU "" Belgorod information fund """;ОГУ «Белгородский информационный центр»;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.8.27;"C=RU,o=REG3,o="" CA"",o="" ""Corporate systems and service"" Ltd""";ООО «Корпоративные системы и сервис», гБарнаул;Защита информации, обеспечение инфраструктуры открытых ключей------------------
Удостоверяющие центры;1.2.643.3.8.35;"C=RU,o=REG3,o=CA,o="" JSC "" Akibank """"";ОАО « Акибанк », г Набережные Челны;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.8.38;"C=RU,o=REG3,o=CA,o=""""Southern Software Company""Ltd""";Общество с ограниченной ответственность «Южная Софтверная Компания», г. Ростов-на-Дону;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.8.51;"C=RU,o=REG3,o=CA,o="" Digital Channel Network JSC""";ОАО «Сеть цифровых каналов», г Екатеринбург;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.8.60;"C=RU,o=REG3,o=CA,o="""" Kontakt "" Ltd""";ООО «НПП Контакт» г .Б елгород;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.8.70;"C=RU,o=REG3,o="" CA"",o="" JSC ""ITS""""";Закрытое Акционерное Общество «Информационные технологии и связь», г Новосибирск;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.9;C=RU,o=REG3,o=PFR;- «Пенсионный фонд Российской Федерации (ПФР). Государственное учреждение . г . Москва»,;- «Защита информации, обеспечение инфраструктуры открытых ключей (PKI) корпоративной   информационной системы, функции удостоверяющего центра, взаимодействие с внешними УЦ».
Удостоверяющие центры;1.2.643.3.10;"С=RU,o=REG3,o=""Volga region certificate authority""";ЗАО «Поволжский удостоверяющий центр», г .К азань;Защита информации, обеспечение инфраструктуры открытых ключей
